keys,hu,en
MENU_PLAY,Játék,Play
MENU_CONTINUE,Folytatás,Continue
MENU_NEW_GAME,Új Játék,New Game
MENU_LOAD_GAME,Betöltés,Load Game
MENU_SETTINGS,Beállítások,Settings
MENU_QUIT,Kilépés,Quit
MENU_CREDITS,Készítők,Credits
MENU_BACK,Vissza,Back
MENU_CONFIRM,Megerősítés,Confirm
MENU_CANCEL,Mégse,Cancel
MENU_YES,Igen,Yes
MENU_NO,Nem,No
MENU_OK,Rendben,OK
MENU_APPLY,Alkalmaz,Apply
MENU_RESET,Visszaállítás,Reset
MENU_SAVE,Mentés,Save
MENU_DELETE,Törlés,Delete
SETTINGS_TITLE,BEÁLLÍTÁSOK,SETTINGS
SETTINGS_AUDIO,Hang,Audio
SETTINGS_VIDEO,Videó,Video
SETTINGS_GAMEPLAY,Játékmenet,Gameplay
SETTINGS_CONTROLS,Vezérlés,Controls
SETTINGS_ACCESSIBILITY,Akadálymentesítés,Accessibility
SETTINGS_LANGUAGE,Nyelv,Language
SETTINGS_MASTER_VOLUME,Fő hangerő,Master Volume
SETTINGS_MUSIC_VOLUME,Zene hangerő,Music Volume
SETTINGS_SFX_VOLUME,Effekt hangerő,SFX Volume
SETTINGS_AMBIENT_VOLUME,Környezeti hangerő,Ambient Volume
SETTINGS_UI_VOLUME,UI hangerő,UI Volume
SETTINGS_MONO_AUDIO,Monó hang,Mono Audio
SETTINGS_FULLSCREEN,Teljes képernyő,Fullscreen
SETTINGS_VSYNC,VSync,VSync
SETTINGS_SCREEN_SHAKE,Képernyő rázás,Screen Shake
SETTINGS_SHOW_DAMAGE_NUMBERS,Sebzés számok mutatása,Show Damage Numbers
SETTINGS_SHOW_HEALTH_BARS,Életerő sávok mutatása,Show Health Bars
SETTINGS_MINIMAP,Minitérkép,Minimap
SETTINGS_AUTO_LOOT,Automatikus zsákmányolás,Auto Loot
SETTINGS_CHAT_ENABLED,Chat engedélyezése,Chat Enabled
SETTINGS_SHOW_TUTORIALS,Útmutató tippek,Show Tutorial Hints
SETTINGS_COLORBLIND_MODE,Színtévesztő mód,Colorblind Mode
SETTINGS_COLORBLIND_OFF,Kikapcsolva,Off
SETTINGS_COLORBLIND_PROTANOPIA,Protanópia (vörös-zöld),Protanopia (Red-Green)
